"Country","co","unit"
"Afghanistan","9.067","million"
"Albania","4.5","million"
"Algeria","135.9","million"
"American Samoa","361,100","Mt"
"Angola","20.95","million"
"Antigua and Barbuda","740,300","Mt"
"Argentina","203.7","million"
"Armenia","5.501","million"
"Aruba","1.266","million"
"Australia","439.1","million"
"Austria","63.93","million"
"Azerbaijan","35.6","million"
"Bahamas, The","3.089","million"
"Bahrain","37.98","million"
"Bangladesh","79.97","million"
"Barbados","1.76","million"
"Belarus","56.07","million"
"Belgium","134.7","million"
"Belize","556,700","Mt"
"Benin","5.664","million"
"Bermuda","793,700","Mt"
"Bhutan","604,900","Mt"
"Bolivia","17.66","million"
"Bosnia and Herzegovina","22.07","million"
"Botswana","6.235","million"
"Brazil","513.8","million"
"British Virgin Islands","183,300","Mt"
"Brunei","10.04","million"
"Bulgaria","46.31","million"
"Burkina Faso","3.421","million"
"Burma","27.01","million"
"Burundi","217,000","Mt"
"Cabo Verde","867,800","Mt"
"Cambodia","10.55","million"
"Cameroon","7.672","million"
"Canada","640.6","million"
"Cayman Islands","643,800","Mt"
"Central African Republic","413,800","Mt"
"Chad","342,200","Mt"
"Chile","88.23","million"
"China","11.67","billion"
"Colombia","95.59","million"
"Comoros","193,600","Mt"
"Congo, Democratic Republic of the","3.146","million"
"Congo, Republic of the","5.239","million"
"Cook Islands","88,810","Mt"
"Costa Rica","7.653","million"
"Cote d'Ivoire","11.54","million"
"Croatia","17.96","million"
"Cuba","26.94","million"
"Cyprus","7.72","million"
"Czechia","115.8","million"
"Denmark","37.45","million"
"Djibouti","950,200","Mt"
"Dominica","199,600","Mt"
"Dominican Republic","23.79","million"
"Ecuador","37.54","million"
"Egypt","232.7","million"
"El Salvador","7.331","million"
"Equatorial Guinea","3.062","million"
"Eritrea","597,100","Mt"
"Estonia","5.306","million"
"Eswatini","1.14","million"
"Ethiopia","12.18","million"
"European Union","3.475","billion"
"Falkland Islands (Islas Malvinas)","44,070","Mt"
"Faroe Islands","739,300","Mt"
"Fiji","2.369","million"
"Finland","46.01","million"
"France","341.2","million"
"French Polynesia","1.03","million"
"Gabon","4.293","million"
"Gambia, The","607,300","Mt"
"Georgia","9.912","million"
"Germany","847.6","million"
"Ghana","13.67","million"
"Gibraltar","13.34","million"
"Greece","69.37","million"
"Greenland","613,800","Mt"
"Grenada","283,600","Mt"
"Guam","2.214","million"
"Guatemala","17.15","million"
"Guinea","2.794","million"
"Guinea-Bissau","397,900","Mt"
"Guyana","2.131","million"
"Haiti","3.595","million"
"Honduras","9.436","million"
"Hong Kong","102.5","million"
"Hungary","51.28","million"
"Iceland","3.228","million"
"India","2.383","billion"
"Indonesia","540.7","million"
"Iran","638.3","million"
"Iraq","117.9","million"
"Ireland","36.91","million"
"Israel","73.82","million"
"Italy","351","million"
"Jamaica","8.9","million"
"Japan","1.268","billion"
"Jersey","450,000","Mt"
"Jordan","27.39","million"
"Kazakhstan","304.6","million"
"Kenya","17.98","million"
"Kiribati","58,850","Mt"
"Korea, North","27.83","million"
"Korea, South","778.4","million"
"Kosovo","10.05","million"
"Kuwait","106.5","million"
"Kyrgyzstan","10.02","million"
"Laos","10.42","million"
"Latvia","8.632","million"
"Lebanon","23.36","million"
"Lesotho","711,100","Mt"
"Liberia","1.163","million"
"Libya","46.48","million"
"Lithuania","13.49","million"
"Luxembourg","10.72","million"
"Macau","2.563","million"
"Madagascar","4.021","million"
"Malawi","1.082","million"
"Malaysia","226.8","million"
"Maldives","1.648","million"
"Mali","3.388","million"
"Malta","8.141","million"
"Marshall Islands","293,700","Mt"
"Mauritania","2.615","million"
"Mauritius","6.429","million"
"Mexico","454.1","million"
"Micronesia, Federated States of","105","Mt"
"Moldova","7.653","million"
"Mongolia","19.86","million"
"Montenegro","2.287","million"
"Montserrat","57,180","Mt"
"Morocco","55.4","million"
"Mozambique","11.12","million"
"Namibia","3.958","million"
"Nauru","76,540","Mt"
"Nepal","8.396","million"
"Netherlands","250.2","million"
"New Caledonia","6.165","million"
